stock	2
author	더스틴 보즈웰, 트레버 파우커 지음, 임백준 옮김
price	18000
hashtag	#컴퓨터공학,#코딩,#개발,#컴퓨터,#자바,#C++
isbn	9788979149142(897914914X)
created_by	2012-04-06
name	읽기 좋은 코드가 좋은 코드다
id	16
numpages	252
intro	이 책은 코드를 작성할 때 언제나 적용할 수 있는 기본적인 원리와 실전적인 기술에 초점을 맞추고 있다. 누구나 쉽게 이해할 수 있는 코드를 예제로 사용하고, 각 장은 코딩과 관련한 다양한 측면을 파고든다. 그리하여 여러분이 어떻게 이해하기 쉬운 코드를 작성할 수 있는지를 보여준다. 딱 맞는 이름 짓기, 주석 달기, 포맷팅 등을 어떤 코드에도 적용할 수 있는 도움말과 함께 설명한다. 프로그램의 루프, 논리, 그리고 변수를 정리해서 복잡성과 혼동을 감소시킨다. 한 번에 하나의 일을 처리하도록 코드의 블록을 정리하는 등, 문제를 함수 수준에서 공략한다. 철저하고 간결하면서 동시에 읽기 쉬운, 효과적인 테스트 코드를 작성한다.
