created_by	2017-09-05
hashtag	#프로그래밍,#ios,#애플,#모바일
price	25000
numpages	408
isbn	9788960882119(8960882119)
intro	이전 책인 "iOS 앱 개발을 위한 Swift 3"은 Objective-C 개발자와 Swift를 처음 시작하는 개발자 모두를 위한 내용을 담고 있다. Objective-C와 Swift 3 뿐만 아니라 Swift 2.3 버전까지 다루면서 마이그레이션이 필요한 개발자도 배려했다. 이번 책은 가장 중요한 주제인 Swift 4 언어를 쉽고 빠르게 익힐 수 있도록 하나의 주제에 집중했다. 이 책에 있는 모든 내용을 학습하고 나면 Swift 언어에 대한 자신감을 가지게 될 것이다. 그리고 독자들의 반복 학습에 도움이 되는 동영상 강의를 직접 제작했고, 지면으로 설명하기 어려웠던 많은 내용들을 다양한 시각효과를 활용해서 설명하고 있다. 지난 책에 포함되었던 Auto Layout, Xcode, iOS, Mix and Match 등은 풍부한 예제를 보강해서 다음 책으로 나올 예정이다.
id	19
author	김근영
name	iOS 앱 개발자를 위한 Swift 4
stock	4
